,Name,Platform,Max_Players,Genre,Publisher,Review_Score,US_Sales,Used_Price,Age_Rating,Length.All.PlayStyles.Average,Length.All.PlayStyles.Leisure,Length.All.PlayStyles.Median,Length.All.PlayStyles.Polled,Length.All.PlayStyles.Rushed,US.Sales..millions.,Year,Sequel,Re.release,Lifecycle,LifecycleSq,Online,Licensed,Handheld,Multiplatform,PersistentUniverse,Pinball,PostApocalyptic,Puzzle,RealTime,RhythmAction,SciFi,TurnBased,VideoBackdrop,VisualNovel,Ecology,Language,Geography,Graphics,Health,History,Maths,Music,PreSchool,Reading,Religion,Science,Sociology,Typing,AmericanFootball,Basketball,Baseball,Boxing,Bowling,Cricket,Fishing,Cycling,Golf,Hockey,Horse,Hunting,Motorcycle,OffRoad,Olympiad,Paintball,PingPong,Pool,Rugby,Sailing,Skateboarding,Snowboarding,Soccer,Surfing,Tennis,Tricks,Volleyball,Wakeboarding,Wrestling,FirstPerson,Platform.1,Isometric,SideScrolling,TopDown,ThirdPerson,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer
420,Mirror's Edge,PS3,1,Platform,Electronic Arts,79,0.29,14.95,T,7.016666667,34.83333333,6.333333333,1100,4.333333333,0.29,2008,0,0,2,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.31,0.58,0.02,0.22,1.13,79,66,7.8,362,EA DICE
421,Mirror's Edge,X360,1,Platform,Electronic Arts,79,0.5,14.95,T,7.016666667,34.83333333,6.333333333,1100,4.333333333,0.5,2008,0,0,3,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.51,0.51,0.01,0.13,1.16,79,82,7.6,328,EA DICE
422,MLB 08: The Show,PS3,2,Sports,Sony Computer Entertainment,85,0.67,12.95,E,10,10,10,1,10,0.67,2008,1,0,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.64,0,0,0.05,0.7,85,33,8.7,76,SCEA San Diego Studios
423,MLB 08: The Show,PSP,1,Sports,Sony Computer Entertainment,83,0.33,14.95,E,10,10,10,1,10,0.33,2008,1,0,4,16,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3,0,0,0.02,0.33,83,14,8.4,12,SCEA San Diego Studios
424,Monster House,DS,1,Adventure,THQ,62,0.15,14.95,E,6.666666667,6.666666667,6.666666667,1,6.666666667,0.15,2006,0,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.14,0,0,0.01,0.16,62,14,NA,NA,Artificial Mind and Movement
425,Monster Hunter Freedom 2,PSP,1,Role-Playing,Capcom,72,0.38,12.95,T,136.0166667,277.5666667,68,5,70,0.38,2007,1,0,3,9,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.37,0.27,1.75,0.18,2.57,72,38,8.7,83,Capcom
426,Monster Hunter Freedom,PSP,1,Role-Playing,Capcom,71,0.25,12.95,T,279.7333333,445.2,101.1,6,120.2,0.25,2006,0,0,2,4,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24,0.03,1.03,0.04,1.34,71,34,8.6,78,Capcom
427,Mortal Kombat vs. DC Universe,PS3,2,Fighting,Midway Games,76,1.13,24.95,T,4.733333333,7.8,4,24,2.65,1.13,2008,1,0,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.48,0.28,0,0.23,2,76,44,7.1,107,Midway
428,Mortal Kombat vs. DC Universe,X360,2,Fighting,Midway Games,72,0.98,24.95,T,4.733333333,7.8,4,24,2.65,0.98,2008,1,0,3,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.53,0.23,0,0.16,1.93,72,61,7.5,87,Midway
429,Mortal Kombat: Armageddon,Wii,4,Fighting,Midway Games,71,0.16,24.95,M,13.13333333,22.86666667,8.333333333,17,8.366666667,0.16,2007,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.19,0.02,0,0.02,0.23,71,29,8.4,33,JGI Entertainment
430,Mortal Kombat: Unchained,PSP,2,Fighting,Midway Games,70,0.67,17.95,M,13.55,26.98333333,4.366666667,4,4.716666667,0.67,2006,0,1,2,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.67,0.01,0,0.06,0.74,70,19,8.8,31,JGI Entertainment
