,X,img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
3415,46966,/games/boxart/5070472ccc.jpg,Trauma Center: Second Opinion,Wii,Simulation,Atlus,Atlus Co.,NA,8.2,NA,NA,0.34,0.28,0.03,0.01,0.03,11/14/2006,
3416,46974,/games/boxart/full_7832431AmericaFrontccc.jpg,The Sims 2,GC,Simulation,Electronic Arts,Maxis,NA,7.6,NA,NA,0.33,0.26,NA,0.07,0.01,10/24/2005,
3417,47007,/games/boxart/full_harvest-moon-magical-melody_3AmericaFront.jpg,Harvest Moon: Magical Melody,Wii,Simulation,Natsume,Marvelous Interactive,NA,6.3,NA,NA,0.29,0.23,NA,0.04,0.02,8/25/2009,
3418,47008,/games/boxart/full_ace-combat-joint-assault_1AmericaFront.jpg,Ace Combat: Joint Assault,PSP,Simulation,Namco Bandai,Project ACES,NA,7,NA,NA,0.29,0.06,0.15,0.05,0.03,8/31/2010,
3419,47013,/games/boxart/8804250ccc.jpg,Trauma Center: New Blood,Wii,Simulation,Atlus,Atlus Co.,NA,7.5,NA,NA,0.29,0.22,0.01,0.04,0.02,11/20/2007,
3420,47015,/games/boxart/full_1201752AmericaFrontccc.jpg,Overcooked! 2,NS,Simulation,Sold Out,Ghost Town Games,8,8.4,NA,NA,0.29,0.17,0.01,0.09,0.03,8/7/2018,6/14/2018
3421,47016,/games/boxart/full_906467AmericaFrontccc.jpg,The Sims 2,PC,Simulation,Electronic Arts,Maxis,NA,8.9,NA,NA,0.29,0.02,NA,0.24,0.03,9/14/2004,
3422,47026,/games/boxart/7949682ccc.png,SimCity 4,PC,Simulation,Electronic Arts,Maxis,NA,8.7,NA,NA,0.28,0.01,NA,0.24,0.02,1/12/2003,
3423,47027,/games/boxart/full_eyepet_390PALFront.jpg,EyePet,PSP,Simulation,Sony Computer Entertainment,SCEE London Studio,NA,4.9,NA,NA,0.28,0.02,NA,0.17,0.09,11/2/2010,
3424,47031,/games/boxart/8117562ccc.jpg,Armored Core: Project Phantasma,PS,Simulation,ASCII Entertainment,From Software,NA,7.2,NA,NA,0.28,0.06,0.15,0.04,0.02,9/30/1998,
3425,47037,/games/boxart/3452639ccc.jpg,The Sims 2: Pets,GC,Simulation,Electronic Arts,Maxis,NA,6.9,NA,NA,0.27,0.21,NA,0.05,0.01,10/17/2006,
3426,47041,/games/boxart/full_5653915AmericaFrontccc.jpg,America's Test Kitchen: Let's Get Cooking,DS,Simulation,Nintendo,Indies Zero,NA,8.5,NA,NA,0.27,0.25,NA,NA,0.02,3/28/2010,
3427,47049,/games/boxart/full_9574601AmericaFrontccc.jpg,Petz: Crazy Monkeyz,Wii,Simulation,Ubisoft,Ubisoft,NA,3.5,NA,NA,0.26,0.24,NA,0,0.02,11/18/2008,
3428,47051,/games/boxart/4516819ccc.jpg,Star Wars Episode I: Battle for Naboo,N64,Simulation,LucasArts,Factor 5,NA,8.5,NA,NA,0.26,0.21,NA,0.05,0,12/13/2000,
3429,47059,/games/boxart/6351588ccc.jpg,Armored Core: Master of Arena,PS,Simulation,Agetec,From Software,NA,7.2,NA,NA,0.26,0.07,0.13,0.05,0.02,2/29/2000,
3430,47066,/games/boxart/full_ace-combat-3d_942AmericaFront.jpg,Ace Combat: Assault Horizon Legacy,3DS,Simulation,Namco Bandai,Namco Bandai Games,NA,7,NA,NA,0.25,0.1,0.08,0.06,0.01,11/15/2011,
3431,47073,/games/boxart/7120617ccc.jpg,Armored Core 4,X360,Simulation,Sega,From Software,NA,6.5,NA,NA,0.25,0.19,0.03,0.01,0.02,3/20/2007,
3432,47078,/games/boxart/1144653ccc.jpg,Harvest Moon: Magical Melody,GC,Simulation,Natsume,Marvelous Interactive,NA,8,NA,NA,0.24,0.19,NA,0.05,0.01,3/28/2006,
3433,47090,/games/boxart/full_6093733AmericaFrontccc.jpg,Colony Wars: Vengeance,PS,Simulation,Psygnosis,Psygnosis,NA,8.6,NA,NA,0.23,0.13,NA,0.09,0.02,11/4/1998,
3434,47095,/games/boxart/full_rune-factory-tides-of-destiny_644AmericaFront.jpg,Rune Factory: Tides of Destiny,PS3,Simulation,Natsume,Neverland Company,NA,6.5,NA,NA,0.23,0.14,0.07,NA,0.02,10/11/2011,
3435,47098,/games/boxart/full_2522756AmericaFrontccc.jpg,Petz Monkeyz House,DS,Simulation,Ubisoft,Ubisoft,NA,5.5,NA,NA,0.22,0.2,NA,0,0.02,11/18/2008,
3436,47103,/games/boxart/full_432810AmericaFrontccc.jpg,Return to PopoloCrois: A Story of Seasons Fairytale,3DS,Simulation,Xseed Games,Marvelous Entertainment,NA,7,NA,NA,0.22,0.09,0.11,NA,0.01,3/1/2016,5/30/2018
3437,47108,/games/boxart/full_1711403AmericaFrontccc.jpg,Over G Fighters,X360,Simulation,Ubisoft,Taito Corporation,NA,5.1,NA,NA,0.22,0.19,NA,0.01,0.02,6/27/2006,
3438,47119,/games/boxart/full_7388245AmericaFrontccc.jpg,Harvest Moon: More Friends of Mineral Town,GBA,Simulation,Natsume,TOSE Software,NA,8,NA,NA,0.2,0.14,NA,0.05,0,7/26/2005,
