"","X","img","title","console","genre","publisher","developer","critic_score","total_sales","na_sales","jp_sales","pal_sales","other_sales","release_date"
"36249",36815,"/games/boxart/full_4876777AmericaFrontccc.jpg","Fallout 4","XOne","Role-Playing","Bethesda Softworks","Bethesda Game Studios",8.4,5.03,2.94,0.02,1.62,0.45,"11/10/2015"
"36252",36818,"/games/boxart/full_6847566AmericaFrontccc.jpg","Fallout 3","X360","Role-Playing","Bethesda Softworks","Bethesda Game Studios",9,4.96,3.41,0.09,0.99,0.46,"10/28/2008"
"36256",36822,"/games/boxart/full_7522699AmericaFrontccc.jpg","Pokémon: Let's Go, Pikachu!","NS","Role-Playing","Nintendo","Game Freak",8.3,4.57,2.16,0.82,1.24,0.34,"11/16/2018"
"36259",36825,"/games/boxart/9008679ccc.jpg","The Elder Scrolls IV: Oblivion","X360","Role-Playing","Take-Two Interactive","Bethesda Softworks",9.2,4.47,2.89,0.13,1.03,0.41,"7/7/2009"
"36265",36831,"/games/boxart/full_fallout-new-vegas_2AmericaFront.jpg","Fallout: New Vegas","X360","Role-Playing","Bethesda Softworks","Obsidian Entertainment",8.2,4.08,2.67,0.04,1.03,0.34,"10/19/2010"
"36269",36835,"/games/boxart/full_8108598AmericaFrontccc.jpg","Fallout 3","PS3","Role-Playing","Bethesda Softworks","Bethesda Game Studios",8.8,4,2.18,0.07,1.15,0.61,"10/28/2008"
"36278",36844,"/games/boxart/full_7599322AmericaFrontccc.jpg","The Elder Scrolls V: Skyrim Special Edition","PS4","Role-Playing","Bethesda Softworks","Bethesda Softworks",8.3,3.36,1.24,0.08,1.5,0.54,"10/28/2016"
"36285",36851,"/games/boxart/full_fallout-new-vegas_9AmericaFront.jpg","Fallout: New Vegas","PS3","Role-Playing","Bethesda Softworks","Obsidian Entertainment",8.2,3.17,1.54,0.1,1.04,0.49,"10/19/2010"
"36286",36852,"/games/boxart/full_1480417AmericaFrontccc.jpg","The Elder Scrolls IV: Oblivion","PS3","Role-Playing","Bethesda Softworks","4J Studios",9.3,3.12,1.69,0.14,0.86,0.44,"3/20/2007"
"36288",36854,"/games/boxart/full_7787486AmericaFrontccc.jpg","Mass Effect 2","X360","Role-Playing","Electronic Arts","BioWare Edmonton",9.5,3.1,1.99,0.03,0.81,0.27,"1/26/2010"
"36296",36862,"/games/boxart/full_9634420AmericaFrontccc.jpg","Mass Effect","X360","Role-Playing","Microsoft Game Studios","BioWare Edmonton",9.2,2.91,1.83,0.03,0.79,0.27,"11/20/2007"
