"","X","img","title","console","genre","publisher","developer","critic_score","user_score","total_sales","na_sales","jp_sales","pal_sales","other_sales","release_date"
"16607",16867,"/games/boxart/full_7921457AmericaFrontccc.jpg","Guitar Hero III: Legends of Rock","PS3","Misc","RedOctane","Neversoft",8.2,8,2.25,1.4,0.02,0.53,0.3,"10/28/2007"
"26254",26667,"/games/boxart/full_971930AmericaFrontccc.jpg","Jak and Daxter: The Precursor Legacy","PS2","Platform","Sony Computer Entertainment","Naughty Dog",9,8.9,3.64,2.08,0.15,1.09,0.33,"12/4/2001"
"26311",26724,"/games/boxart/full_7136269AmericaFrontccc.jpg","Ratchet & Clank Future: A Crack in Time","PS3","Platform","Sony Computer Entertainment","Insomniac Games",8.7,9,1.89,1.05,0.03,0.55,0.26,"10/27/2009"
"26376",26789,"/games/boxart/full_5107716AmericaFrontccc.jpg","Castlevania: Symphony of the Night","PS","Platform","Konami","Konami Computer Entertainment Tokyo",9.3,9,1.27,0.58,0.21,0.4,0.08,"10/2/1997"
"26398",26814,"/games/boxart/full_3564523AmericaFrontccc.jpg","Mirror's Edge","PS3","Platform","Electronic Arts","EA Digital Illusions CE",7.7,8.2,1.13,0.31,0.02,0.59,0.21,"11/11/2008"
"26431",26847,"/games/boxart/full_2136381AmericaFrontccc.jpg","de Blob","Wii","Platform","THQ","Blue Tongue",8.1,8,0.96,0.49,0,0.37,0.1,"9/22/2008"
"26635",27054,"/games/boxart/full_6129765AmericaFrontccc.jpg","NiGHTS: Journey of Dreams","Wii","Platform","Sega","Sonic Team",7,9.1,0.41,0.32,0.04,0.02,0.03,"12/18/2007"
"26663",27082,"/games/boxart/full_5245960AmericaFrontccc.jpg","Castlevania: Order of Ecclesia","DS","Platform","Konami","Konami",8.2,9.2,0.37,0.27,0.04,0.03,0.03,"10/21/2008"
"29836",30303,"/games/boxart/full_2000240AmericaFrontccc.jpg","Boom Blox","Wii","Puzzle","Electronic Arts","EA Los Angeles",8.6,8.9,1.21,0.71,0,0.38,0.12,"5/6/2008"
"33081",33599,"/games/boxart/full_forza-motorsport-3_9AmericaFront.jpg","Forza Motorsport 3","X360","Racing","Microsoft Game Studios","Turn 10 Studios",9.2,9.8,5.5,2.99,0.1,1.9,0.51,"10/27/2009"
"36243",36809,"/games/boxart/full_282357AmericaFrontccc.jpg","Final Fantasy XIII","PS3","Role-Playing","Square Enix","Square Enix",8,9.2,5.35,1.75,1.87,1.23,0.51,"3/9/2010"
"36248",36814,"/games/boxart/full_1882754JapanFrontccc.jpg","Final Fantasy XV","PS4","Role-Playing","Square Enix","Square Enix",8.1,9.5,5.07,1.81,1.05,1.53,0.68,"11/29/2016"
"36252",36818,"/games/boxart/full_6847566AmericaFrontccc.jpg","Fallout 3","X360","Role-Playing","Bethesda Softworks","Bethesda Game Studios",9,8.6,4.96,3.41,0.09,0.99,0.46,"10/28/2008"
"36288",36854,"/games/boxart/full_7787486AmericaFrontccc.jpg","Mass Effect 2","X360","Role-Playing","Electronic Arts","BioWare Edmonton",9.5,8.9,3.1,1.99,0.03,0.81,0.27,"1/26/2010"
