,Name,Platform,Max_Players,Genre,Publisher,Review_Score,Used_Price,Age_Rating,Length_Average,Length_Leisure,Length_Median,Length_Polled,Length_Rushed,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Score,User_Count,Sequel,Online,Licensed,Handheld,Multiplatform,Third_Person
702,The Sims 2: Castaway,Wii,1,Simulation,Electronic Arts,73,17.95,T,8,8,8,1,8,2007,0.44,0.63,0,0.14,1.2,8.2,10,1,0,0,0,1,0
703,The Sims 2: Pets,DS,1,Simulation,Electronic Arts,49,14.95,E,27.7,31.55,27.7,2,23.85,2006,0.92,0.93,0,0.22,2.07,5.2,24,1,0,0,1,1,1
704,The Sims 2: Pets,PSP,1,Simulation,Electronic Arts,57,17.95,T,27.7,31.55,27.7,2,23.85,2006,0.19,0.38,0,0.22,0.79,7.3,10,1,0,0,1,1,1
705,The Sims 2: Pets,Wii,1,Simulation,Electronic Arts,65,22.95,T,27.7,31.55,27.7,2,23.85,2007,0.41,0.02,0,0.04,0.47,7.3,4,1,0,0,0,1,1
709,The Warriors,PSP,1,Action,Take-Two Interactive,52,17.95,M,12.56666667,16.75,10.45,14,9,2007,0.23,0.01,0,0.02,0.27,7.8,21,0,1,1,1,1,1
710,The World Ends With You,DS,1,Role-Playing,Square Enix,88,17.95,T,48.66666667,195.55,30,151,26.11666667,2007,0.49,0.04,0.21,0.04,0.78,8.9,283,0,0,0,1,0,1
711,Thrillville,PSP,1,Strategy,Atari,72,14.95,E10+,8.233333333,8.233333333,8.233333333,1,8.233333333,2006,0.18,0,0,0.02,0.2,2.8,39,0,1,0,1,1,1
712,Thrillville: Off the Rails,PSP,1,Strategy,LucasArts,72,16.95,E10+,12.15,21.43333333,9.633333333,7,7.733333333,2007,0.09,0,0,0.01,0.1,0.6,24,1,1,0,1,1,1
713,Thrillville: Off the Rails,Wii,4,Strategy,LucasArts,70,16.95,E10+,12.15,21.43333333,9.633333333,7,7.733333333,2007,0.38,0.02,0,0.03,0.44,2.8,40,1,0,0,0,1,1
714,Thrillville: Off the Rails,X360,4,Strategy,LucasArts,73,17.95,E10+,12.15,21.43333333,9.633333333,7,7.733333333,2007,0.13,0.02,0,0.01,0.16,2.8,34,1,0,0,0,1,1
717,Tiger Woods PGA Tour 07,Wii,4,Sports,Electronic Arts,71,17.95,E,10,10,10,1,10,2007,0.43,0,0,0.04,0.47,6.9,44,1,0,1,0,1,1
718,Tiger Woods PGA Tour 07,X360,1,Sports,Electronic Arts,80,9.95,E,10,10,10,1,10,2006,0.44,0,0,0.04,0.48,7.9,21,1,0,1,0,1,1
719,Time Crisis 4,PS3,2,Shooter,Namco Bandai Games,60,24.95,T,1.216666667,1.55,1,7,0.783333333,2007,0.32,0.32,0.05,0.14,0.83,7.4,21,1,0,0,0,0,0
720,TimeShift,PS3,1,Shooter,Vivendi Games,70,16.95,M,8.5,11.85,8.916666667,78,6.35,2007,0.14,0,0,0.01,0.16,6.3,27,0,1,0,0,1,0
721,TimeShift,X360,1,Shooter,Vivendi Games,70,12.95,M,8.5,11.85,8.916666667,78,6.35,2007,0.36,0.02,0,0.03,0.41,7.9,63,0,1,0,0,1,0
722,TMNT,Wii,1,Action,Ubisoft,60,17.95,E10+,4.916666667,6.466666667,5,32,3.466666667,2007,0.3,0.03,0,0.03,0.36,5.9,11,0,0,1,0,1,1
723,TMNT,X360,1,Action,Ubisoft,58,19.95,E10+,4.916666667,6.466666667,5,32,3.466666667,2007,0.48,0.03,0,0.05,0.56,6.3,32,0,0,1,0,1,1
727,Tokobot,PSP,1,Platform,Take-Two Interactive,72,17.95,E,9.333333333,10.5,8.683333333,4,8.5,2005,0.06,0,0,0,0.06,7.3,8,0,0,0,1,0,1
728,Tom Clancy's EndWar,PS3,1,Strategy,Ubisoft,76,17.95,T,14.53333333,25.56666667,9.75,7,9.05,2008,0.33,0.22,0.01,0.1,0.66,6.6,42,0,1,1,0,1,1
729,Tom Clancy's EndWar,X360,1,Strategy,Ubisoft,77,16.95,T,14.53333333,25.56666667,9.75,7,9.05,2008,0.58,0.24,0.01,0.09,0.91,7.2,53,0,1,1,0,1,1
730,Tom Clancy's Rainbow Six: Vegas 2,PS3,2,Shooter,Ubisoft,81,24.95,M,9.9,19.71666667,9,76,6.666666667,2008,0.66,0.44,0.04,0.21,1.34,7.9,93,1,1,1,0,1,1
731,Tom Clancy's Rainbow Six: Vegas 2,X360,2,Shooter,Ubisoft,82,16.95,M,9.9,19.71666667,9,76,6.666666667,2008,1.56,0.6,0.02,0.23,2.42,7.8,176,1,1,1,0,1,1
732,Tom Clancy's Rainbow Six: Vegas,PS3,2,Shooter,Ubisoft,86,16.95,M,9.9,19.71666667,9,76,6.666666667,2007,0.47,0.53,0.03,0.22,1.25,7.6,81,1,1,1,0,1,1
733,Tom Clancy's Rainbow Six: Vegas,X360,2,Shooter,Ubisoft,88,14.95,M,9.9,19.71666667,9,76,6.666666667,2006,1.09,0.65,0.02,0.2,1.95,8.3,225,1,1,1,0,1,1
734,Tom Clancy's Splinter Cell: Double Agent,PS3,1,Action,Ubisoft,78,22.95,M,12.41666667,35.85,11,76,8.85,2007,0.2,0.03,0,0.03,0.26,6.5,41,1,1,1,0,1,1
735,Tom Clancy's Splinter Cell: Double Agent,Wii,2,Action,Ubisoft,61,17.95,M,12.41666667,35.85,11,76,8.85,2006,0.1,0.01,0,0.01,0.13,7.4,16,1,0,1,0,1,1
736,Tom Clancy's Splinter Cell: Double Agent,X360,1,Action,Ubisoft,85,17.95,M,12.41666667,35.85,11,76,8.85,2006,0.67,0.04,0.01,0.06,0.78,8.1,148,1,1,1,0,1,1
737,Tomb Raider: Underworld,PS3,1,Action,Eidos Interactive,75,17.95,T,11.51666667,17.88333333,10.03333333,143,7.833333333,2008,0.45,0.55,0.05,0.22,1.26,7.2,166,1,0,0,0,1,1
738,Tomb Raider: Underworld,Wii,1,Action,Eidos Interactive,70,17.95,T,11.51666667,17.88333333,10.03333333,143,7.833333333,2008,0.13,0.27,0,0.05,0.45,7.2,20,1,0,0,0,0,1
739,Tomb Raider: Underworld,X360,1,Action,Eidos Interactive,76,17.95,T,11.51666667,17.88333333,10.03333333,143,7.833333333,2008,0.53,0.42,0.01,0.11,1.07,6.6,198,1,0,0,0,1,1
740,Tony Hawk's American Sk8land,DS,1,Sports,Activision,84,16.95,E,18.8,20.7,20,5,16.2,2005,0.19,0,0,0.02,0.21,8.7,55,1,1,1,1,1,1
741,Tony Hawk's American Wasteland,X360,1,Sports,Activision,75,14.95,T,12.88333333,14.96666667,13,18,9.266666667,2005,0.28,0.01,0,0.03,0.32,7.2,21,1,1,1,0,1,1
742,Tony Hawk's Project 8,PS3,2,Sports,Activision,76,14.95,T,17.16666667,19.53333333,17,11,15.33333333,2006,0.3,0.22,0.01,0.1,0.63,7.2,14,1,0,1,0,1,1
